dataset	randomness	snr	monotonicity	consistency	cv	mad	mad_q75	prompt_switch_rate
arc_challenge_fi_fbv2_cf	7.253	45.259	0.763	0.23	2.8	0.383	0.523	52.632
arc_challenge_fi_fbv2_mcf	8.191	20.619	0.365	0.513	2.597	0.47	0.672	21.052
belebele_fin_cf_fbv2	11.111	68.434	0.576	0.152	2.571	0.333	0.445	65.79
belebele_fin_mcf_fbv2	0.0	57.476	0.096	0.341	2.271	0.222	0.278	68.421
finbench_analogies_cf_fbv2	73.846	12.357	0.798	0.183	4.279	2.307	2.5	34.21
finbench_analogies_mcf_fbv2	48.462	11.131	0.323	0.345	4.3	2.693	3.462	21.052
finbench_emotions_cf_fbv2	29.375	6.06	0.073	0.119	10.053	2.969	3.75	57.895
finbench_emotions_mcf_fbv2	18.75	5.786	-0.019	0.293	14.951	2.031	2.812	36.842
finbench_empirical_judgments_cf_fbv2	2.054	11.456	0.052	0.327	2.866	0.505	0.505	52.632
finbench_empirical_judgments_mcf_fbv2	10.134	15.131	0.258	0.323	7.172	1.01	2.02	65.79
finbench_general_knowledge_cf_fbv2	38.129	9.968	0.553	0.162	9.532	1.429	2.322	71.053
finbench_general_knowledge_mcf_fbv2	22.414	6.294	0.159	0.137	10.878	2.5	2.857	63.158
finbench_hhh_alignment_cf_fbv2	-7.014	72.408	0.426	0.507	1.672	0.452	0.452	47.368
finbench_hhh_alignment_mcf_fbv2	0.226	21.644	0.081	0.569	4.984	0.905	1.358	55.263
finbench_paraphrase_cf_fbv2	5.5	12.503	-0.081	0.323	4.136	2.0	2.812	63.158
finbench_paraphrase_mcf_fbv2	7.5	13.31	-0.297	0.298	4.306	2.0	2.812	55.263
finbench_similarities_abstraction_cf_fbv2	42.105	17.679	0.399	0.489	3.741	1.316	2.631	68.421
finbench_similarities_abstraction_mcf_fbv2	32.895	13.644	0.12	0.086	10.498	2.631	2.796	63.158
goldenswag_ht_fi_cf_fbv2	15.0	59.974	0.948	0.554	7.376	0.2	0.4	47.368
goldenswag_ht_fi_mcf_fbv2	-3.1	28.024	0.034	0.12	3.746	0.35	0.512	73.684
